date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:38	24654/24654	---M-Z	200	added ('OK')	text/html	etag:%22604e-5c2aba9f5e83d-gzip%22	https://www.designesia.com/themes/lovus/01_index_2.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_index_2.html	(from )
06:39:40	119/119	---MC-	200	added ('OK')	text/plain	date:Mon,%2015%20Aug%202022%2023:39:39%20GMT	https://www.designesia.com/robots.txt		(from )
06:39:41	122956/122956	---M--	200	added ('OK')	text/css	etag:%221e04c-58e91e5dedbfb%22	https://www.designesia.com/themes/lovus/css/bootstrap.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/bootstrap.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:41	72263/72263	---M--	200	added ('OK')	text/css	etag:%2211a47-58e91e59a8027%22	https://www.designesia.com/themes/lovus/css/animate.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/animate.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:42	7764/7764	---M--	200	added ('OK')	text/css	etag:%221e54-58e91e5ebbcd3%22	https://www.designesia.com/themes/lovus/css/owl.carousel.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/owl.carousel.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:42	7883/7883	---M--	200	added ('OK')	text/css	etag:%221ecb-58e91e5dfc65a%22	https://www.designesia.com/themes/lovus/css/magnific-popup.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/magnific-popup.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:43	1039/1039	---M--	200	added ('OK')	text/css	etag:%2240f-58e91e5c45ecc%22	https://www.designesia.com/themes/lovus/css/jquery.countdown.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/jquery.countdown.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:43	118514/118514	---M--	200	added ('OK')	text/css	etag:%221cef2-5c2ab0de659fe%22	https://www.designesia.com/themes/lovus/css/style.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/style.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:43	27478/27478	---M--	200	added ('OK')	text/css	etag:%226b56-58e91e5a935be%22	https://www.designesia.com/themes/lovus/css/animsition.min.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/animsition.min.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:43	334/334	---M--	200	added ('OK')	text/css	etag:%2214e-5c2ab89d1d5cf%22	https://www.designesia.com/themes/lovus/rsvp/form.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/rsvp/form.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:44	3069/3069	---M--	200	added ('OK')	text/css	etag:%22bfd-58e91e5a760ff%22	https://www.designesia.com/themes/lovus/css/bg.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/bg.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:44	158/158	---M--	200	added ('OK')	text/css	etag:%229e-58e91e5b6b2d5%22	https://www.designesia.com/themes/lovus/css/color.css	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/css/color.css	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:44	30648/30648	---M-Z	200	added ('OK')	text/html	etag:%2277b8-5c2abaa7a0c08-gzip%22	https://www.designesia.com/themes/lovus/index.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/index.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:45	22616/22616	---M-Z	200	added ('OK')	text/html	etag:%225858-5c2aba9fea297-gzip%22	https://www.designesia.com/themes/lovus/01_index_3.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_index_3.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:45	20547/20547	---M-Z	200	added ('OK')	text/html	etag:%225043-5c2abaa407dcd-gzip%22	https://www.designesia.com/themes/lovus/02_index.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/02_index.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:45	15019/15019	---M-Z	200	added ('OK')	text/html	etag:%223aab-5c2abaa492888-gzip%22	https://www.designesia.com/themes/lovus/02_index_2.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/02_index_2.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:46	15768/15768	---M-Z	200	added ('OK')	text/html	etag:%223d98-5c2abaa505c43-gzip%22	https://www.designesia.com/themes/lovus/02_index_3.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/02_index_3.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:46	13597/13597	---M-Z	200	added ('OK')	text/html	etag:%22351d-5c2aba9d792b0-gzip%22	https://www.designesia.com/themes/lovus/01_about-her.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_about-her.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:46	13596/13596	---M-Z	200	added ('OK')	text/html	etag:%22351c-5c2aba9dc268d-gzip%22	https://www.designesia.com/themes/lovus/01_about-him.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_about-him.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:46	16973/16973	---M-Z	200	added ('OK')	text/html	etag:%22424d-5c2abaa21e9c1-gzip%22	https://www.designesia.com/themes/lovus/01_story.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_story.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:47	13548/13548	---M-Z	200	added ('OK')	text/html	etag:%2234ec-5c2aba9e4a268-gzip%22	https://www.designesia.com/themes/lovus/01_events.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_events.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
06:39:47	24223/24223	---M-Z	200	added ('OK')	text/html	etag:%225e9f-5c2abaa1ce884-gzip%22	https://www.designesia.com/themes/lovus/01_people.html	C:/My%20Web%20Sites/Wedding%20Invitation%20Ridwan/www.designesia.com/themes/lovus/01_people.html	(from https://www.designesia.com/themes/lovus/01_index_2.html)
